Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
Magnificent Butcher,1979,Yuen Woo-ping,Hongkong,"Action, Comedy",108 min,"Sammo Hung, Yuen Biao",Raymond Chow,N/A,N/A,[Recension](https://www.google.com/search?q=Magnificent+Butcher+1979+movie+review),D:\Film Asia\Hong Kong och Kina\Magnificent.Butcher.1979.1080p.mp4,,,X
Magnificent Warriors,1987,David Chung,Hongkong,"Action, Adventure",92 min,"Michelle Yeoh, Derek Yee",John Sham,Michael Lai,N/A,[Recension](https://www.google.com/search?q=Magnificent+Warriors+1987+movie+review),D:\Film Asia\Hong Kong och Kina\magnificent.warriors.1987.720p.mkv,,,X
Once a Thief,1991,John Woo,Hongkong,"Action, Comedy",108 min,"Chow Yun-fat, Leslie Cheung",Terence Chang,Lowell Lo,N/A,[Recension](https://www.google.com/search?q=Once+a+Thief+1991+movie+review),D:\Film Asia\Hong Kong och Kina\Once.A.Thief.1991.1080p.mp4,,,X
Once Upon a Time in China and America,1997,Sammo Hung,Hongkong,"Action, Western",102 min,"Jet Li, Rosamund Kwan",Tsui Hark,Lowell Lo,N/A,[Recension](https://www.google.com/search?q=Once+Upon+a+Time+in+China+and+America+review),D:\Film Asia\Hong Kong och Kina\Once.Upon.A.Time.In.China.And.America.1997.1080p.mp4,,,X
Once Upon a Time in China II,1992,Tsui Hark,Hongkong,"Action, Biography",113 min,"Jet Li, Donnie Yen",Tsui Hark,Richard Yuen,N/A,[Recension](https://www.google.com/search?q=Once+Upon+a+Time+in+China+II+review),D:\Film Asia\Hong Kong och Kina\Once.Upon.A.Time.In.China.II.1992.1080p.mp4,,,X
Once Upon a Time in China III,1993,Tsui Hark,Hongkong,"Action, Biography",111 min,"Jet Li, Rosamund Kwan",Tsui Hark,Richard Yuen,N/A,[Recension](https://www.google.com/search?q=Once+Upon+a+Time+in+China+III+review),D:\Film Asia\Hong Kong och Kina\Once.Upon.A.Time.In.China.III.1992.1080p.mp4,,,X
Operation Condor,1991,Jackie Chan,Hongkong,"Action, Adventure",106 min,"Jackie Chan, Carol Cheng",Leonard Ho,Chris Babida,N/A,[Recension](https://www.google.com/search?q=Operation+Condor+1991+movie+review),D:\Film Asia\Hong Kong och Kina\Operation.Condor.1991.1080p.mp4,,,X
Police Story,1985,Jackie Chan,Hongkong,"Action, Crime",100 min,"Jackie Chan, Brigitte Lin",Raymond Chow,Michael Lai,N/A,[Recension](https://www.google.com/search?q=Police+Story+1985+movie+review),D:\Film Asia\Hong Kong och Kina\Police.Story.1985.1080p.mp4,,,X
Police Story 2,1988,Jackie Chan,Hongkong,"Action, Crime",121 min,"Jackie Chan, Maggie Cheung",Leonard Ho,Michael Lai,N/A,[Recension](https://www.google.com/search?q=Police+Story+2+1988+movie+review),D:\Film Asia\Hong Kong och Kina\Police.Story.2.1988.1080p.mp4,,,X
Prison on Fire,1987,Ringo Lam,Hongkong,"Action, Crime",98 min,"Chow Yun-fat, Tony Leung",Karl Maka,Lowell Lo,N/A,[Recension](https://www.google.com/search?q=Prison+on+Fire+1987+movie+review),D:\Film Asia\Hong Kong och Kina\Prison.On.Fire.1987.1080p.mp4,,,X
Project A,1983,Jackie Chan,Hongkong,"Action, Comedy",105 min,"Jackie Chan, Sammo Hung",Leonard Ho,Michael Lai,N/A,[Recension](https://www.google.com/search?q=Project+A+1983+movie+review),D:\Film Asia\Hong Kong och Kina\Project.A.1983.1080p.mp4,,,X
Project A II,1987,Jackie Chan,Hongkong,"Action, Comedy",101 min,"Jackie Chan, Maggie Cheung",Leonard Ho,Michael Lai,N/A,[Recension](https://www.google.com/search?q=Project+A+II+1987+movie+review),D:\Film Asia\Hong Kong och Kina\Project.A.2.1987.1080p.mp4,,,X
Seven Warriors,1989,Terry Tong,Hongkong,"Action, Martial Arts",91 min,"Adam Cheng, Jacky Cheung",John Sham,N/A,N/A,[Recension](https://www.google.com/search?q=Seven+Warriors+1989+movie+review),D:\Film Asia\Hong Kong och Kina\Seven.Warriors.1989.1080p.mp4,,,X
Supercop 2,1993,Stanley Tong,Hongkong,"Action, Crime",104 min,"Michelle Yeoh, Yu Rongguang",Barbie Tung,Nathan Wang,N/A,[Recension](https://www.google.com/search?q=Supercop+2+1993+movie+review),D:\Film Asia\Hong Kong och Kina\Supercop.2.1993.1080p.mp4,,,X
The Big Boss,1971,Lo Wei,Hongkong,"Action, Martial Arts",100 min,"Bruce Lee, Maria Yi",Raymond Chow,Joseph Koo,N/A,[Recension](https://www.google.com/search?q=The+Big+Boss+1971+movie+review),D:\Film Asia\Hong Kong och Kina\The Big Boss 1971 Criterion 1080p (Multi) BluRay HEVC x265 BONE.mkv,,,X
The Blade,1995,Tsui Hark,Hongkong,"Action, Drama",101 min,"Vincent Zhao, Moses Chan",Tsui Hark,Raymond Wong,N/A,[Recension](https://www.google.com/search?q=The+Blade+1995+movie+review),D:\Film Asia\Hong Kong och Kina\The Blade.mp4,,,X
The Killer,1989,John Woo,Hongkong,"Action, Crime",111 min,"Chow Yun-fat, Danny Lee",Tsui Hark,Lowell Lo,N/A,[Recension](https://www.google.com/search?q=The+Killer+1989+movie+review),D:\Film Asia\Hong Kong och Kina\The Killer 1989 REMASTERED 1080p (DUAL) BluRay HEVC x265 BONE.mkv,,,X
The Millionaires' Express,1986,Sammo Hung,Hongkong,"Action, Comedy",101 min,"Sammo Hung, Yuen Biao",Raymond Chow,Stephen Shing,N/A,[Recension](https://www.google.com/search?q=The+Millionaires+Express+1986+movie+review),D:\Film Asia\Hong Kong och Kina\The.Millionaires'.Express.1986.3D.HSBS.BluRay.x264-[YTS.mp4,,,X
The Prodigal Son,1981,Sammo Hung,Hongkong,"Action, Martial Arts",100 min,"Yuen Biao, Lam Ching-ying",Raymond Chow,Phil Chen,N/A,[Recension](https://www.google.com/search?q=The+Prodigal+Son+1981+movie+review),D:\Film Asia\Hong Kong och Kina\The.Prodigal.Son.1981.1080p.BluRay.x264.AAC5.1-[YTS.mp4,,,X
The Protector,1985,James Glickenhaus,Hongkong/USA,"Action, Crime",95 min,"Jackie Chan, Danny Aiello",Raymond Chow,Ken Young,N/A,[Recension](https://www.google.com/search?q=The+Protector+1985+movie+review),D:\Film Asia\Hong Kong och Kina\The.Protector.1985.1080p.BluRay.x264-[YTS.mp4,,,X
The Warrior's Brother,2000,Lorne Thyssen,Sydafrika/UK,Adventure,90 min,"Brendan Pollecutt, Robert Whitehead",N/A,N/A,N/A,[Recension](https://www.google.com/search?q=The+Warrior's+Brother+2000+movie+review),D:\Film Asia\Hong Kong och Kina\The Warriors.Brother.0000.1080p.WEBRip.x264.AAC-[YTS.mp4,,,X
The Way of the Dragon,1972,Bruce Lee,Hongkong,"Action, Martial Arts",99 min,"Bruce Lee, Chuck Norris",Raymond Chow,Joseph Koo,N/A,[Recension](https://www.google.com/search?q=The+Way+of+the+Dragon+1972+movie+review),D:\Film Asia\Hong Kong och Kina\The Way of The Dragon 1972 Criterion 1080p (Multi) BluRay HEVC x265 BONE.mkv,,,X
The Battle at Lake Changjin,2021,"Chen Kaige, Tsui Hark, Dante Lam",Kina,"Action, War",176 min,"Wu Jing, Jackson Yee",Huang Jianxin,Wang Zhi-yi,N/A,[Recension](https://www.google.com/search?q=The+Battle+at+Lake+Changjin+2021+movie+review),D:\Film Asia\Hong Kong och Kina\The.Battle.At.Lake.Changjin.2021.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
The Final Master,2015,Xu Haofeng,Kina,"Action, Drama",109 min,"Liao Fan, Song Jia",Li Xiaoping,An Wei,N/A,[Recension](https://www.google.com/search?q=The+Final+Master+2015+movie+review),D:\Film Asia\Hong Kong och Kina\The.Final.Master.2015.CHINESE.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
The Moon Warriors,1992,Sammo Hung,Hongkong,"Action, Fantasy",91 min,"Andy Lau, Anita Mui",Sammo Hung,William Hu,N/A,[Recension](https://www.google.com/search?q=The+Moon+Warriors+1992+movie+review),D:\Film Asia\Hong Kong och Kina\The.Moon.Warriors.1992.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
The Yellow Sea,2010,Na Hong-jin,Sydkorea,"Action, Thriller",140 min,"Ha Jung-woo, Kim Yoon-seok",Lee Woo-jung,Lee Byung-woo,N/A,[Recension](https://www.google.com/search?q=The+Yellow+Sea+2010+movie+review),D:\Film Asia\Hong Kong och Kina\The.Yellow.Sea.2010.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Tiger Cage,1988,Yuen Woo-ping,Hongkong,"Action, Crime",92 min,"Donnie Yen, Jacky Cheung",Stephen Shin,Richard Yuen,N/A,[Recension](https://www.google.com/search?q=Tiger+Cage+1988+movie+review),D:\Film Asia\Hong Kong och Kina\Tiger Cage.1988.1080p.BluRay.x264.AAC-[YTS.mp4,,,X
Tiger on the Beat,1988,Lau Kar-leung,Hongkong,"Action, Comedy",88 min,"Chow Yun-fat, Conan Lee",Conan Lee,Teddy Robin Kwan,N/A,[Recension](https://www.google.com/search?q=Tiger+on+the+Beat+1988+movie+review),D:\Film Asia\Hong Kong och Kina\Tiger On.Beat.1988.1080p.BluRay.x264.AAC-[YTS.mp4,,,X
"Twinkle, Twinkle, Lucky Stars",1985,Sammo Hung,Hongkong,"Action, Comedy",96 min,"Jackie Chan, Sammo Hung",Leonard Ho,Lowell Lo,N/A,[Recension](https://www.google.com/search?q=Twinkle+Twinkle+Lucky+Stars+1985+review),D:\Film Asia\Hong Kong och Kina\Twinkle.Twinkle.Lucky.Stars.1985.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Wheels on Meals,1984,Sammo Hung,Hongkong,"Action, Comedy",108 min,"Jackie Chan, Sammo Hung",Raymond Chow,Keith Morrison,N/A,[Recension](https://www.google.com/search?q=Wheels+on+Meals+1984+movie+review),D:\Film Asia\Hong Kong och Kina\Wheels.On.Meals.1984.mp4,,,X
"Yes, Madam!",1985,Corey Yuen,Hongkong,"Action, Crime",93 min,"Michelle Yeoh, Cynthia Rothrock",Sammo Hung,Romeo Diaz,N/A,[Recension](https://www.google.com/search?q=Yes+Madam+1985+movie+review),"D:\Film Asia\Hong Kong och Kina\Yes,.Madam!.1985.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4",,,X
Zu Warriors from the Magic Mountain,1983,Tsui Hark,Hongkong,"Action, Fantasy",98 min,"Yuen Biao, Adam Cheng",Raymond Chow,Kwan Shing-yau,N/A,[Recension](https://www.google.com/search?q=Zu+Warriors+from+the+Magic+Mountain+review),D:\Film Asia\Hong Kong och Kina\Zu.Warriors.From.The.Magic.Mountain.1983.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Survive Style 5+,2004,Katsuhito Ishii,Japan,"Comedy, Fantasy",120 min,"Tadanobu Asano, Vinnie Jones",Hiroyuki Ikeda,James Shimoji,N/A,[Recension](https://www.google.com/search?q=Survive+Style+5+plus+2004+movie+review),D:\Film Asia\Japan\2004 - Survive Style 5+.mkv,,,X
Blade of the Immortal,2017,Takashi Miike,Japan,"Action, Fantasy",141 min,"Takuya Kimura, Hana Sugisaki",Jeremy Thomas,Koji Endo,N/A,[Recension](https://www.google.com/search?q=Blade+of+the+Immortal+2017+movie+review),D:\Film Asia\Japan\Blade.Of.The.Immortal.2017.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Boiling Point,1990,Takeshi Kitano,Japan,"Action, Crime",96 min,"Takeshi Kitano, Yûri Yanagi",Masayuki Mori,N/A,N/A,[Recension](https://www.google.com/search?q=Boiling+Point+1990+movie+review),D:\Film Asia\Japan\Boiling.Point.1990.1080p.BluRay.x264.AAC-[YTS.LT].mp4,,,X
Dead or Alive 2: Birds,2000,Takashi Miike,Japan,"Action, Crime",97 min,"Sho Aikawa, Riki Takeuchi",Tsutomu Tsuchikawa,Chu Ishikawa,N/A,[Recension](https://www.google.com/search?q=Dead+or+Alive+2+Birds+movie+review),D:\Film Asia\Japan\Dead.Or.Alive.2.Birds.2000.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Dodes'ka-den,1970,Akira Kurosawa,Japan,Drama,140 min,"Yoshitaka Zushi, Kin Sugai",Akira Kurosawa,Tôru Takemitsu,N/A,[Recension](https://www.google.com/search?q=Dodes'ka-den+1970+movie+review),D:\Film Asia\Japan\Dodes'ka-den.1970.1080p.BluRay.x264-[YTS.LT].mp4,,,X
Dolls,2002,Takeshi Kitano,Japan,"Drama, Romance",114 min,"Miho Kanno, Hidetoshi Nishijima",Masayuki Mori,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=Dolls+2002+Takeshi+Kitano+review),D:\Film Asia\Japan\Dolls.2002.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Dreams,1990,Akira Kurosawa,Japan,"Drama, Fantasy",119 min,"Akira Terao, Mitsunori Isaki",Steven Spielberg,Shinichirô Ikebe,Industrial Light & Magic,[Recension](https://www.google.com/search?q=Akira+Kurosawa+Dreams+1990+review),D:\Film Asia\Japan\Dreams.1990.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Harakiri,1962,Masaki Kobayashi,Japan,"Action, Drama",133 min,"Tatsuya Nakadai, Akira Ishihama",Tatsuo Hosoya,Tôru Takemitsu,N/A,[Recension](https://www.google.com/search?q=Harakiri+1962+movie+review),D:\Film Asia\Japan\Harakiri.1962.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
High and Low,1963,Akira Kurosawa,Japan,"Crime, Drama",143 min,"Toshirô Mifune, Tatsuya Nakadai",Tomoyuki Tanaka,Masaru Satô,N/A,[Recension](https://www.google.com/search?q=High+and+Low+1963+movie+review),D:\Film Asia\Japan\High.And.Low.1963.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Ikiru,1952,Akira Kurosawa,Japan,Drama,143 min,"Toshirô Mifune, Takashi Shimura",Sôjirô Motoki,Fumio Hayasaka,N/A,[Recension](https://www.google.com/search?q=Ikiru+1952+movie+review),D:\Film Asia\Japan\Ikiru.1952.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Kagemusha,1980,Akira Kurosawa,Japan,"Action, History",180 min,"Tatsuya Nakadai, Tsutomu Yamazaki","George Lucas, Francis Ford Coppola",Shinichirô Ikebe,N/A,[Recension](https://www.google.com/search?q=Kagemusha+1980+movie+review),D:\Film Asia\Japan\Kagemusha.1980.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Kwaidan,1964,Masaki Kobayashi,Japan,"Horror, Fantasy",183 min,"Rentarô Mikuni, Michiyo Aratama",Shigeru Wakatsuki,Tôru Takemitsu,N/A,[Recension](https://www.google.com/search?q=Kwaidan+1964+movie+review),D:\Film Asia\Japan\Kwaidan (1965) Masters of Cinema (1080p BluRay x265 10bit r00t).mkv,,,X
Lady Snowblood,1973,Toshiya Fujita,Japan,"Action, Drama",97 min,"Meiko Kaji, Toshio Kurosawa",Kikumaru Okuda,Masaaki Hirao,N/A,[Recension](https://www.google.com/search?q=Lady+Snowblood+1973+movie+review),D:\Film Asia\Japan\Lady.Snowblood.1973.1080p.BluRay.x264-[YTS.LT].mp4,,,X
Lone Wolf and Cub: Baby Cart at the River Styx,1972,Kenji Misumi,Japan,Action,81 min,"Tomisaburô Wakayama, Kayo Matsuo",Shintarô Katsu,Hideakira Sakurai,N/A,[Recension](https://www.google.com/search?q=Baby+Cart+at+the+River+Styx+review),D:\Film Asia\Japan\Lone.Wolf.And.Cub.Baby.Cart.At.The.River.Styx.1972.1080p.mp4,,,X
Lone Wolf and Cub: Baby Cart in Peril,1972,Takeichi Saitô,Japan,Action,81 min,"Tomisaburô Wakayama, Yoichi Hayashi",Shintarô Katsu,Hideakira Sakurai,N/A,[Recension](https://www.google.com/search?q=Baby+Cart+in+Peril+review),D:\Film Asia\Japan\Lone.Wolf.And.Cub.Baby.Cart.In.Peril.1972.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,Kenji Misumi,Japan,Action,89 min,"Tomisaburô Wakayama, Michi Azuma",Shintarô Katsu,Hideakira Sakurai,N/A,[Recension](https://www.google.com/search?q=Baby+Cart+in+the+Land+of+Demons+review),D:\Film Asia\Japan\Lone.Wolf.And.Cub.Baby.Cart.In.The.Land.Of.Demons.1973.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Lone Wolf and Cub: Baby Cart to Hades,1972,Kenji Misumi,Japan,Action,81 min,"Tomisaburô Wakayama, Go Kato",Shintarô Katsu,Hideakira Sakurai,N/A,[Recension](https://www.google.com/search?q=Baby+Cart+to+Hades+review),D:\Film Asia\Japan\Lone.Wolf.And.Cub.Baby.Cart.To.Hades.1972.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Lone Wolf and Cub: Sword of Vengeance,1972,Kenji Misumi,Japan,Action,83 min,"Tomisaburô Wakayama, Fumio Watanabe",Shintarô Katsu,Hideakira Sakurai,N/A,[Recension](https://www.google.com/search?q=Sword+of+Vengeance+1972+review),D:\Film Asia\Japan\Lone.Wolf.And.Cub.Sword.Of.Vengeance.1972.1080p.BluRay.x264.mp4,,,X
Lone Wolf and Cub: White Heaven in Hell,1974,Yoshiyuki Kuroda,Japan,Action,83 min,"Tomisaburô Wakayama, Akihiro Tomikawa",Shintarô Katsu,Hideakira Sakurai,N/A,[Recension](https://www.google.com/search?q=White+Heaven+in+Hell+1974+review),D:\Film Asia\Japan\Lone.Wolf.And.Cub.White.Heaven.In.Hell.1974.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Postman Blues,1997,SABU,Japan,"Comedy, Crime",110 min,"Shin'ichi Tsutsumi, Keisuke Horibe",Hiroyuki Ikeda,N/A,N/A,[Recension](https://www.google.com/search?q=Postman+Blues+1997+movie+review),D:\Film Asia\Japan\Posutoman.Burusu.1997.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,,,X
Ran,1985,Akira Kurosawa,Japan,"Action, Drama",162 min,"Tatsuya Nakadai, Akira Terao",Serge Silberman,Tôru Takemitsu,N/A,[Recension](https://www.google.com/search?q=Ran+1985+movie+review),D:\Film Asia\Japan\Ran.1985.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,,X
Rashomon,1950,Akira Kurosawa,Japan,"Crime, Drama",88 min,"Toshirô Mifune, Machiko Kyô",Minoru Jaki,Fumio Hayasaka,N/A,[Recension](https://www.google.com/search?q=Rashomon+1950+movie+review),D:\Film Asia\Japan\Rashomon.1950.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Red Beard,1965,Akira Kurosawa,Japan,Drama,185 min,"Toshirô Mifune, Yûzô Kayama",Tomoyuki Tanaka,Masaru Satô,N/A,[Recension](https://www.google.com/search?q=Red+Beard+1965+movie+review),D:\Film Asia\Japan\Red.Beard.1965.1080p.BluRay.x264-[YTS.LT].mp4,,,X
Sanjuro,1962,Akira Kurosawa,Japan,"Action, Comedy",96 min,"Toshirô Mifune, Tatsuya Nakadai",Tomoyuki Tanaka,Masaru Satô,N/A,[Recension](https://www.google.com/search?q=Sanjuro+1962+movie+review),D:\Film Asia\Japan\Sanjuro.1962.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Seven Samurai,1954,Akira Kurosawa,Japan,"Action, Drama",207 min,"Toshirô Mifune, Takashi Shimura",Sôjirô Motoki,Fumio Hayasaka,N/A,[Recension](https://www.google.com/search?q=Seven+Samurai+1954+movie+review),D:\Film Asia\Japan\Seven.Samurai.1954.ENSUBBED.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,,X
Shogun Part 1,1980,Jerry London,USA/Japan,"Action, History",150 min (cut),"Richard Chamberlain, Toshirô Mifune",James Clavell,Maurice Jarre,N/A,[Recension](https://www.google.com/search?q=Shogun+1980+miniseries+review),D:\Film Asia\Japan\Shogun.1980.PART.1.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Shogun Part 2,1980,Jerry London,USA/Japan,"Action, History",150 min (cut),"Richard Chamberlain, Toshirô Mifune",James Clavell,Maurice Jarre,N/A,[Recension](https://www.google.com/search?q=Shogun+1980+miniseries+review),D:\Film Asia\Japan\Shogun.1980.PART.2.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Shogun Part 3,1980,Jerry London,USA/Japan,"Action, History",150 min (cut),"Richard Chamberlain, Toshirô Mifune",James Clavell,Maurice Jarre,N/A,[Recension](https://www.google.com/search?q=Shogun+1980+miniseries+review),D:\Film Asia\Japan\Shogun.1980.PART.3.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Sonatine,1993,Takeshi Kitano,Japan,"Action, Crime",93 min,"Takeshi Kitano, Aya Kokumai",Masayuki Mori,Joe Hisaishi,N/A,[Recension](https://www.google.com/search?q=Sonatine+1993+movie+review),D:\Film Asia\Japan\Sonatine.1993.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Symbol,2009,Hitoshi Matsumoto,Japan,"Comedy, Fantasy",93 min,"Hitoshi Matsumoto, David Quintero",Akihiko Okamoto,Yasuaki Shimizu,N/A,[Recension](https://www.google.com/search?q=Symbol+2009+movie+review),D:\Film Asia\Japan\Symbol.2009.HYBRID.1080p.BluRay.x264.AAC5.1-[YTS.BZ].mp4,,,X
Tampopo,1985,Jûzô Itami,Japan,Comedy,114 min,"Ken Watanabe, Tsutomu Yamazaki",Seigo Hosogoe,Kunihiko Murai,N/A,[Recension](https://www.google.com/search?q=Tampopo+1985+movie+review),D:\Film Asia\Japan\Tampopo.1985.1080p.BluRay.x264-[YTS.AM].mp4,,,X
The Sword of Doom,1966,Kihachi Okamoto,Japan,"Action, Drama",122 min,"Tatsuya Nakadai, Toshirô Mifune",Sanezumi Fujimoto,Masaru Satô,N/A,[Recension](https://www.google.com/search?q=The+Sword+of+Doom+1966+review),D:\Film Asia\Japan\The.Sword.of.Doom.1966.Criterion.1080p.BluRay.x265.HEVC.FLAC-SARTRE.mkv,,,X
The Twilight Samurai,2002,Yôji Yamada,Japan,"Drama, History",129 min,"Hiroyuki Sanada, Rie Miyazawa",Shigehiro Nakagawa,Isao Tomita,N/A,[Recension](https://www.google.com/search?q=The+Twilight+Samurai+2002+movie+review),D:\Film Asia\Japan\The.Twilight.Samurai.2002.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Throne of Blood,1957,Akira Kurosawa,Japan,"Drama, History",110 min,"Toshirô Mifune, Isuzu Yamada",Akira Kurosawa,Masaru Satô,N/A,[Recension](https://www.google.com/search?q=Throne+of+Blood+1957+movie+review),D:\Film Asia\Japan\Throne.Of.Blood.1957.mp4,,,X
Tokyo Story,1953,Yasujirô Ozu,Japan,Drama,136 min,"Chishû Ryû, Chieko Higashiyama",Takeshi Chiba,Takanobu Saitô,N/A,[Recension](https://www.google.com/search?q=Tokyo+Story+1953+movie+review),D:\Film Asia\Japan\Tokyo.Story.1953.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Violent Cop,1989,Takeshi Kitano,Japan,"Action, Crime",103 min,"Takeshi Kitano, Maiko Kawakami",Masayuki Mori,Daisaku Kume,N/A,[Recension](https://www.google.com/search?q=Violent+Cop+1989+movie+review),D:\Film Asia\Japan\Violent.Cop.1989.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Yojimbo,1961,Akira Kurosawa,Japan,"Action, Drama",110 min,"Toshirô Mifune, Tatsuya Nakadai",Tomoyuki Tanaka,Masaru Satô,N/A,[Recension](https://www.google.com/search?q=Yojimbo+1961+movie+review),D:\Film Asia\Japan\Yojimbo.1961.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,,X
A Bittersweet Life,2005,Kim Jee-woon,Sydkorea,"Action, Crime",119 min,"Lee Byung-hun, Shin Min-a",Lee Yoo-jin,Dalpalan,N/A,[Recension](https://www.google.com/search?q=A+Bittersweet+Life+2005+movie+review),D:\Film Asia\Korea\A.Bittersweet.Life.2005.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
A Dirty Carnival,2006,Yoo Ha,Sydkorea,"Action, Crime",141 min,"Jo In-sung, Namkoong Min",Cha Seung-jae,Jo Yeong-wook,N/A,[Recension](https://www.google.com/search?q=A+Dirty+Carnival+2006+movie+review),D:\Film Asia\Korea\A.Dirty.Carnival.2006.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
A Taxi Driver,2017,Jang Hoon,Sydkorea,"Action, Drama",137 min,"Song Kang-ho, Thomas Kretschmann",Park Un-kyoung,Cho Young-wuk,N/A,[Recension](https://www.google.com/search?q=A+Taxi+Driver+2017+movie+review),D:\Film Asia\Korea\A.Taxi.Driver.2017.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Forgotten,2017,Jang Hang-jun,Sydkorea,"Thriller, Mystery",109 min,"Kang Ha-neul, Kim Mu-yeol",Park Joon-sik,Lee Chang-hee,N/A,[Recension](https://www.google.com/search?q=Forgotten+2017+Korean+movie+review),D:\Film Asia\Korea\Forgotten.2017.KOREAN.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
